240.0	260.0	250.0	260.0	280.0	user_000709	Eurythmics	Gloria Estefan	Elton John	Scissor Sisters	Take 	Enya
260.0	250.0	260.0	280.0	210.0	user_000709	Gloria Estefan	Elton John	Scissor Sisters	Take 6	Eny	Copeland
250.0	260.0	280.0	210.0	210.0	user_000709	Elton John	Scissor Sisters	Take 6	Enya	Copelan	Barbra Streisand
260.0	280.0	210.0	210.0	240.0	user_000709	Scissor Sisters	Take 6	Enya	Copeland	Barbra Streisan	Ace Of Base
280.0	210.0	210.0	240.0	190.0	user_000709	Take 6	Enya	Copeland	Barbra Streisand	Ace Of Bas	Amy Grant
210.0	210.0	240.0	190.0	260.0	user_000709	Enya	Copeland	Barbra Streisand	Ace Of Base	Amy Gran	Love Inc.
210.0	240.0	190.0	260.0	260.0	user_000709	Copeland	Barbra Streisand	Ace Of Base	Amy Grant	Love Inc	Diana Ross & The Supremes
690.0	1120.0	499.0	253.0	213.0	user_000391	Starsailor	The Rolling Stones	Stray Cats	Leonard Cohen	Mazzy Sta	Cat Power
1120.0	499.0	253.0	213.0	199.0	user_000391	The Rolling Stones	Stray Cats	Leonard Cohen	Mazzy Star	Cat Powe	Söhne Mannheims
240.0	190.0	260.0	260.0	430.0	user_000709	Barbra Streisand	Ace Of Base	Amy Grant	Love Inc.	Diana Ross & The Supreme	Eko
190.0	260.0	260.0	430.0	210.0	user_000709	Ace Of Base	Amy Grant	Love Inc.	Diana Ross & The Supremes	Ek	Fjedur
499.0	253.0	213.0	199.0	452.0	user_000391	Stray Cats	Leonard Cohen	Mazzy Star	Cat Power	Söhne Mannheim	Snow Patrol
253.0	213.0	199.0	452.0	168.0	user_000391	Leonard Cohen	Mazzy Star	Cat Power	Söhne Mannheims	Snow Patro	Joan Jett
260.0	260.0	430.0	210.0	210.0	user_000709	Amy Grant	Love Inc.	Diana Ross & The Supremes	Eko	Fjedu	Bauchklang
213.0	199.0	452.0	168.0	243.0	user_000391	Mazzy Star	Cat Power	Söhne Mannheims	Snow Patrol	Joan Jet	Green Day
260.0	430.0	210.0	210.0	250.0	user_000709	Love Inc.	Diana Ross & The Supremes	Eko	Fjedur	Bauchklan	The Nylons
199.0	452.0	168.0	243.0	196.0	user_000391	Cat Power	Söhne Mannheims	Snow Patrol	Joan Jett	Green Da	Eels
452.0	168.0	243.0	196.0	137.0	user_000391	Söhne Mannheims	Snow Patrol	Joan Jett	Green Day	Eel	Fu Manchu
430.0	210.0	210.0	250.0	470.0	user_000709	Diana Ross & The Supremes	Eko	Fjedur	Bauchklang	The Nylon	Simon & Garfunkel
168.0	243.0	196.0	137.0	181.0	user_000391	Snow Patrol	Joan Jett	Green Day	Eels	Fu Manch	Bloc Party
243.0	196.0	137.0	181.0	170.0	user_000391	Joan Jett	Green Day	Eels	Fu Manchu	Bloc Part	Jet
210.0	210.0	250.0	470.0	211.0	user_000709	Eko	Fjedur	Bauchklang	The Nylons	Simon & Garfunke	The Air Command Band
196.0	137.0	181.0	170.0	274.0	user_000391	Green Day	Eels	Fu Manchu	Bloc Party	Je	Ramones
