260.0	281.0	220.0	1045745	w-inds.	Yuki Kaida	Nujabe	岡崎律子
281.0	220.0	251.0	1045745	Yuki Kaida	Nujabes	岡崎律�	楊千嬅
220.0	251.0	270.0	1045745	Nujabes	岡崎律子	楊千�	w-inds.
251.0	270.0	300.0	1045745	岡崎律子	楊千嬅	w-inds	Naoto Fuga & Masayuki Okazaki
270.0	300.0	239.0	1045745	楊千嬅	w-inds.	Naoto Fuga & Masayuki Okazak	ALI PROJECT
300.0	239.0	180.0	1045745	w-inds.	Naoto Fuga & Masayuki Okazaki	ALI PROJEC	Uran
239.0	180.0	230.0	1045745	Naoto Fuga & Masayuki Okazaki	ALI PROJECT	Ura	Kathy Shower & Yoko Ueno
180.0	230.0	305.0	1045745	ALI PROJECT	Uran	Kathy Shower & Yoko Uen	T.M.Revolution
230.0	305.0	280.0	1045745	Uran	Kathy Shower & Yoko Ueno	T.M.Revolutio	光田康典
305.0	280.0	321.0	1045745	Kathy Shower & Yoko Ueno	T.M.Revolution	光田康�	Heartsdales
280.0	321.0	290.0	1045745	T.M.Revolution	光田康典	Heartsdale	The Seeker
321.0	290.0	291.0	1045745	光田康典	Heartsdales	The Seeke	The Stripes
290.0	291.0	310.0	1045745	Heartsdales	The Seeker	The Stripe	w-inds.
1029.0	66.0	634.0	2110169	Teenage Jesus and the Jerks	Ex Models	Teenage Jesus and the Jerk	Maximilian Hecker
291.0	310.0	280.0	1045745	The Seeker	The Stripes	w-inds	杏子
310.0	331.0	240.0	2146750	Nine Inch Nails	Deadsy	Earsho	KMFDM
310.0	280.0	261.0	1045745	The Stripes	w-inds.	杏�	w-inds.
331.0	240.0	240.0	2146750	Deadsy	Earshot	KMFD	Gjallarhorn
280.0	261.0	380.0	1045745	w-inds.	杏子	w-inds	m-flo
240.0	240.0	280.0	2146750	Earshot	KMFDM	Gjallarhor	Nine Inch Nails
240.0	280.0	1030.0	2146750	KMFDM	Gjallarhorn	Nine Inch Nail	Tool
280.0	1030.0	160.0	2146750	Gjallarhorn	Nine Inch Nails	Too	Without
261.0	380.0	1255.0	1045745	杏子	w-inds.	m-fl	Kathy Shower
380.0	1255.0	131.0	1045745	w-inds.	m-flo	Kathy Showe	MISIA
1030.0	160.0	600.0	2146750	Nine Inch Nails	Tool	Withou	Zen Café
160.0	600.0	330.0	2146750	Tool	Without	Zen Caf�	Dj Scot project & Angy dee
1255.0	131.0	815.0	1045745	m-flo	Kathy Shower	MISI	m-flo
600.0	330.0	330.0	2146750	Without	Zen Café	Dj Scot project & Angy de	Blindside
131.0	815.0	361.0	1045745	Kathy Shower	MISIA	m-fl	K. ft. Verbal
815.0	361.0	330.0	1045745	MISIA	m-flo	K. ft. Verba	名取香り
330.0	330.0	560.0	2146750	Zen Café	Dj Scot project & Angy dee	Blindsid	Ministry
330.0	560.0	440.0	2146750	Dj Scot project & Angy dee	Blindside	Ministr	Nine Inch Nails
273.0	233.0	6226.0	2145441	Pinback	Saosin	Pinbac	Saosin
560.0	440.0	410.0	2146750	Blindside	Ministry	Nine Inch Nail	Skinny Puppy
361.0	330.0	1102.0	1045745	m-flo	K. ft. Verbal	名取香�	Silva
233.0	6226.0	263.0	2145441	Saosin	Pinback	Saosi	...And You Will Know Us by the Trail of Dead
440.0	410.0	330.0	2146750	Ministry	Nine Inch Nails	Skinny Pupp	A Perfect Circle
6226.0	263.0	208.0	2145441	Pinback	Saosin	...And You Will Know Us by the Trail of Dea	The Innocence Mission
330.0	1102.0	320.0	1045745	K. ft. Verbal	名取香り	Silv	MISIA
263.0	208.0	173.0	2145441	Saosin	...And You Will Know Us by the Trail of Dead	The Innocence Missio	Calexico
410.0	330.0	300.0	2146750	Nine Inch Nails	Skinny Puppy	A Perfect Circl	Tool
208.0	173.0	204.0	2145441	...And You Will Know Us by the Trail of Dead	The Innocence Mission	Calexic	Lovage
1102.0	320.0	321.0	1045745	名取香り	Silva	MISI	名取香り
330.0	300.0	250.0	2146750	Skinny Puppy	A Perfect Circle	Too	The Escape Engine
173.0	204.0	236.0	2145441	The Innocence Mission	Calexico	Lovag	Fey
320.0	321.0	310.0	1045745	Silva	MISIA	名取香�	GACKT
300.0	250.0	201.0	2146750	A Perfect Circle	Tool	The Escape Engin	Kumikameli
204.0	236.0	233.0	2145441	Calexico	Lovage	Fe	Rachael Yamagata
250.0	201.0	200.0	2146750	Tool	The Escape Engine	Kumikamel	30 Seconds to Mars
321.0	310.0	491.0	1045745	MISIA	名取香り	GACK	Silva
236.0	233.0	430.0	2145441	Lovage	Fey	Rachael Yamagat	Cat Power
201.0	200.0	480.0	2146750	The Escape Engine	Kumikameli	30 Seconds to Mar	Unicode
66.0	634.0	6696.0	2110169	Ex Models	Teenage Jesus and the Jerks	Maximilian Hecke	Black Strobe
233.0	430.0	367.0	2145441	Fey	Rachael Yamagata	Cat Powe	Ink and Dagger
200.0	480.0	490.0	2146750	Kumikameli	30 Seconds to Mars	Unicod	Disco Ensemble
430.0	367.0	406.0	2145441	Rachael Yamagata	Cat Power	Ink and Dagge	Green Day
480.0	490.0	190.0	2146750	30 Seconds to Mars	Unicode	Disco Ensembl	Nine Inch Nails
367.0	406.0	266.0	2145441	Cat Power	Ink and Dagger	Green Da	Queen
490.0	190.0	260.0	2146750	Unicode	Disco Ensemble	Nine Inch Nail	The Prodigy
190.0	260.0	370.0	2146750	Disco Ensemble	Nine Inch Nails	The Prodig	Blur
481.0	191.0	12215.0	2197633	The Faint	Shakira	Radiohea	Jeff Mangum
634.0	6696.0	1182.0	2110169	Teenage Jesus and the Jerks	Maximilian Hecker	Black Strob	Moving Units
260.0	370.0	320.0	2146750	Nine Inch Nails	The Prodigy	Blu	Pitchshifter
370.0	320.0	170.0	2146750	The Prodigy	Blur	Pitchshifte	Clint Mansell
406.0	266.0	1117.0	2145441	Ink and Dagger	Green Day	Quee	Sex Pistols
